Package	Download_score
a4	332
a4Base	389
a4Classif	319
a4Core	366
a4Preproc	472
a4Reporting	277
ABAEnrichment	122
ABarray	379
abseqR	251
ABSSeq	391
acde	333
ACE	280
aCGH	567
ACME	554
ADaCGH2	382
ADAM	254
ADAMgui	227
ADAPT	101
adaptest	38
adductomicsR	229
ADImpute	259
adSplit	413
adverSCarial	158
Aerith	39
AffiXcan	245
affxparser	2387
affy	9119
affycomp	410
AffyCompatible	178
affyContam	342
affycoretools	683
AffyExpress	158
affyILM	332
affyio	9334
affylmGUI	451
affyPara	189
affypdnn	197
affyPLM	1471
affyQCReport	145
AffyRNADegradation	287
AffyTiling	88
AGDEX	323
aggregateBioVar	263
Agi4x44PreProcess	63
agilp	244
AgiMicroRna	431
AHMassBank	167
AIMS	693
airpart	210
alabaster	175
alabaster.base	4990
alabaster.bumpy	173
alabaster.files	171
alabaster.mae	188
alabaster.matrix	4646
alabaster.ranges	4595
alabaster.sce	1404
alabaster.schemas	4502
alabaster.se	4565
alabaster.sfe	98
alabaster.spatial	190
alabaster.string	187
alabaster.vcf	173
ALDEx2	1720
alevinQC	257
AllelicImbalance	362
AlphaBeta	252
AlphaMissenseR	197
alpine	183
ALPS	35
AlpsNMR	283
alsace	103
altcdfenvs	421
AMARETTO	274
AMOUNTAIN	268
amplican	354
ampliQueso	101
AnalysisPageServer	66
anamiR	52
anansi	71
Anaquin	253
ANCOMBC	2029
AneuFinder	290
ANF	246
anglemania	83
animalcules	371
annaffy	559
AnnBuilder	40
anndataR	527
annmap	319
annoLinker	26
annotate	20151
AnnotationDbi	43018
AnnotationFilter	12359
AnnotationForge	2276
AnnotationFuncs	109
AnnotationHub	13874
AnnotationHubData	739
annotationTools	366
annotatr	895
anota	323
anota2seq	346
antiProfiles	253
AnVIL	832
AnVILAz	152
AnVILBase	626
AnVILBilling	194
AnVILGCP	169
AnVILPublish	191
AnVILWorkflow	166
APAlyzer	218
apComplex	394
apeglm	5873
APL	203
applera	21
appreci8R	280
aroma.light	2018
ArrayExpress	646
ArrayExpressHTS	119
arrayMagic	102
arrayMvout	382
arrayQCplot	17
arrayQuality	464
arrayQualityMetrics	699
ArrayTools	177
ArrayTV	136
ARRmNormalization	252
artMS	309
ASAFE	200
ASEB	232
ASGSCA	257
ASICS	360
asmn	16
ASpediaFI	71
ASpli	415
AssessORF	278
ASSET	325
ASSIGN	392
assorthead	16251
ASURAT	247
asuri	38
ATACCoGAPS	44
atacInferCnv	3
ATACseqQC	673
ATACseqTFEA	228
atena	231
AtlasRDF	38
atSNP	299
attract	404
AUCell	3658
autonomics	260
Autotuner	40
AWAggregator	82
AWFisher	230
awst	213
BaalChIP	300
BAC	155
bacon	399
BADER	267
BadRegionFinder	270
BAGS	272
ballgown	1835
bambu	515
bamsignals	1436
BANDITS	262
bandle	234
Banksy	523
banocc	207
barbieQ	144
barcodetrackR	159
basecallQC	279
BaseSpaceR	279
Basic4Cseq	325
BASiCS	470
BASiCStan	180
BasicSTARRseq	245
basilisk	4508
basilisk.utils	3497
batchCorr	102
BatChef	2
batchelor	4803
BatchQC	354
BatchSVG	167
Battlefield	8
BayesKnockdown	225
BayesPeak	130
BayesSpace	596
bayNorm	282
baySeq	781
BBCAnalyzer	319
BCRANK	479
bcSeq	214
BDMMAcorrect	82
beachmat	19230
beachmat.hdf5	290
beachmat.tiledb	119
beadarray	887
beadarraySNP	208
BeadDataPackR	750
BeadExplorer	21
BEARscc	120
BEAT	380
BEclear	259
bedbaser	168
beer	219
benchdamic	138
BERT	150
betaHMM	156
betr	110
betterChromVAR	6
bettr	169
BG2	169
bgafun	148
BgeeCall	269
BgeeDB	298
BGmix	170
bgx	271
BHC	169
BicARE	383
BiFET	223
BiGGR	209
bigmelon	333
bigmemoryExtras	84
bigPint	106
bim	20
BindingSiteFinder	246
bioassayR	323
Biobase	58775
biobroom	452
biobtreeR	176
bioCancer	304
BioCartaImage	157
BiocBaseUtils	11070
BiocBook	192
BiocBuildReporter	6
BiocCaseStudies	181
BiocCheck	2184
biocDatasets	10
BiocDockerManager	52
BiocFHIR	192
BiocFileCache	29162
BiocGenerics	69243
Bioc.gff	78
biocGraph	428
BiocHail	117
BiocHubsShiny	188
BiocInstaller	199
BiocIO	21459
BiocMaintainerApp	8
biocmake	1415
BiocNeighbors	13370
BiocOncoTK	147
BioCor	314
BiocParallel	60800
BiocPkgDash	8
BiocPkgTools	436
biocroxytest	142
BiocSet	611
BiocSingular	15585
BiocSklearn	281
BiocStyle	7263
biocthis	676
BiocVersion	71140
biocViews	5169
BiocWorkflowTools	303
biodb	339
biodbChebi	204
biodbExpasy	43
biodbHmdb	137
biodbKegg	74
biodbLipidmaps	50
biodbMirbase	35
biodbNcbi	132
biodbNci	121
biodbUniprot	122
bioDist	487
BioGA	137
biomaRt	23911
BioMedR	16
biomformat	7058
BioMM	83
BioMVCClass	318
biomvRCNS	317
BioNAR	216
BioNERO	396
BioNet	603
BioNetStat	103
BioQC	377
BioSeqClass	126
biosigner	293
Biostrings	53393
biosvd	96
BioTIP	229
biotmle	269
biovizBase	6210
BiRewire	341
birta	114
birte	77
biscuiteer	271
BiSeq	434
BitSeq	252
blacksheepr	238
blase	74
blima	287
BLMA	337
BloodGen3Module	226
bluster	7972
bnbc	278
bnem	222
BOBaFIT	208
borealis	199
BPRMeth	319
BRAIN	398
brainflowprobes	86
brainImageR	17
BrainSABER	63
BrainStars	107
branchpointer	278
breakpointR	275
BreastSubtypeR	162
brendaDb	232
BREW3R.r	165
BRGenomics	179
bridge	172
BridgeDbR	299
broadSeq	118
BrowserViz	318
BrowserVizDemo	21
BSgenome	13841
BSgenomeForge	327
bsseq	1877
BubbleTree	270
BufferedMatrix	261
BufferedMatrixMethods	283
bugsigdbr	685
BulkSignalR	251
BUMHMM	263
bumphunter	2955
BumpyMatrix	770
BUS	321
BUScorrect	253
BUSpaRse	430
BUSseq	257
CaDrA	161
CAEN	193
CAFE	391
CAGEfightR	421
cageminer	225
CAGEr	541
CALIB	150
CalibraCurve	73
calm	171
CAMERA	856
CAMTHC	36
CaMutQC	161
canceR	318
cancerclass	581
CancerInSilico	96
CancerMutationAnalysis	131
CancerSubtypes	186
CAnD	114
caOmicsV	167
cardelino	235
Cardinal	588
CardinalIO	299
CARDspa	203
carnation	12
CARNIVAL	353
casper	370
CATALYST	737
Category	1659
categoryCompare	390
CatsCradle	160
CausalR	273
cbaf	255
CBEA	70
cBioPortalData	710
CBN2Path	68
CBNplot	238
cbpManager	225
CCAFE	167
ccfindR	239
ccImpute	207
ccmap	198
CCPlotR	213
CCPROMISE	250
ccrepe	327
CDI	185
celaref	285
celda	1178
CellaRepertorium	89
CellBarcode	243
cellbaseR	305
CellBench	329
cellGrowth	114
cellHTS	176
cellHTS2	331
CelliD	383
cellity	294
CellMapper	253
CellMentor	30
cellmig	91
cellmigRation	201
CellMixS	391
CellNOptR	435
cellscape	192
CellScore	148
CellTrails	284
cellTree	199
cellxgenedp	225
CEMiTool	373
censcyt	202
Cepo	346
ceRNAnetsim	188
CeTF	288
CexoR	361
CFAssay	210
cfdnakit	217
cfDNAPro	274
cfTools	158
CGEN	254
CGHbase	723
CGHcall	690
cghMCR	407
CGHnormaliter	319
CGHregions	328
ChAMP	993
CHARGE	32
charm	146
ChemmineOB	570
ChemmineR	1169
CHETAH	275
chevreulPlot	152
chevreulProcess	159
chevreulShiny	131
ChIC	69
Chicago	327
chihaya	238
chimera	166
chimeraviz	370
ChIPanalyser	306
ChIPComp	283
chipenrich	389
ChIPexoQual	298
ChIPpeakAnno	1351
ChIPQC	559
ChIPseeker	2896
chipseq	941
ChIPseqR	414
ChIPSeqSpike	53
ChIPsim	367
ChIPXpress	286
chopsticks	290
chroGPS	152
Chromatograms	89
chromDraw	255
ChromHeatMap	332
ChromoViz	48
chromPlot	339
ChromSCape	243
chromstaR	269
chromswitch	111
chromVAR	1520
CHRONOS	276
cicero	544
cigarillo	7949
CIMICE	198
CINdex	241
circRNAprofiler	314
CircSeqAlignTk	185
cisPath	161
CiteFuse	263
ClassifyR	546
cleanUpdTSeq	398
CleanUpRNAseq	175
cleaver	494
clevRvis	172
clippda	308
clipper	452
cliProfiler	195
cliqueMS	263
Clomial	248
Clonality	150
ClonalSim	1
clonotypeR	102
clst	301
clstutils	288
CluMSID	248
ClustAll	162
clustComp	253
clusterExperiment	582
ClusterFoldSimilarity	161
ClusterGVis	41
ClusterJudge	237
clusterProfiler	25826
clusterSeq	248
ClusterSignificance	249
clusterStab	324
clustifyr	379
ClustIRR	167
clustSIGNAL	157
CMA	409
cmapR	695
CNAnorm	281
CNEr	2235
cn.farms	357
cn.mops	555
CNORdt	259
CNORfeeder	326
CNORfuzzy	318
CNORode	304
CNPBayes	97
CNTools	375
CNVfilteR	228
CNVgears	70
cnvGSA	273
CNViz	166
CNVMetrics	202
CNVPanelizer	306
CNVRanger	287
CNVrd2	327
CNVtools	83
cobindR	124
CoCiteStats	278
COCOA	322
codelink	468
CODEX	405
coexnet	92
CoGAPS	475
cogena	367
cogeqc	235
Cogito	210
coGPS	280
COHCAP	147
cola	474
comapr	166
combi	217
coMET	245
coMethDMR	213
compartmap	120
COMPASS	364
compcodeR	453
CompensAID	26
compEpiTools	324
CompGO	111
ComplexHeatmap	21260
CompoundDb	547
ComPrAn	170
compSPOT	146
conclus	48
concordexR	191
condcomp	10
condiments	294
CONFESS	319
consensus	219
ConsensusClusterPlus	3307
consensusDE	251
consensusOV	292
consensusSeekeR	295
consICA	205
CONSTANd	202
contiBAIT	213
conumee	439
